processed_text,comments_count
история путь метро начать ходить тематический поезд посвятить император россия достижение развитие страна запустить необычный состав вместе российский военный исторический общество пассажир арбатско покровский линия смочь узнать история россия выдающийся государственный деятель среди который александр невский иван грозный екатерина поезд ходить течение месяц,16
готовиться делать новый праздничный фотография украсить станция метро семёновский найти впечатляющий инсталляция вид огромный подарочный коробка яркий бант краснопресненский украсить гирлянда который создавать особый атмосфера волшебство вечером мерцать свет дарить пассажир уют тепло,20
участник около млн шаг море улыбка гореть глаз это квест мцд разгадывать самый сложный шифр кроссворд ломать голова хитрый загадка громко поздравлять пассажир наступать новый год блестяще бросать мяч кольцо спеть куплет песня маленький ёлочка легендарный спасибо ваш улыбка азарт день провести вместе точно знать команда пассажир мы плечо любой испытание,19
тыс инновационный турникет весь способ оплата проезд появиться московский транспорт благодаря улучшить конструкция новый устройство позволить повысить пропускной способность станция метро основной преимущество будущий турникет возможный проход два сторона виброотклик слабовидящий световой индикация статус оплата,14
золотой награда престижный корейский конкурс достаться наш поезд метро москва оценить номинация промышленный дизайн премия конкурс участвовать заявка корея сша индия франция австрия другой страна проект оценивать критерий инновационность функциональность экологичность эстетичность востребованность рынок москва становиться призёр престижный конкурс начало год состав вручить серебряный награда международный премия италия категория промышленный дизайн осень поезд стать победитель премия хороший промышленный дизайн россия занять место категория народный голосование кстати дизайн салон выбирать москвич выставка станция манеж год победить вариант экостиль бежевый отделка вставка дерево,35
полмиллиарда поездка мцд круглый отличник год совершить диаметр млн поездка мцд это сквозь район москва подмосковье современный поезд иволга станция который московский городской вокзал раз поездка внутри москва сравнение период запуск спасибо строить маршрут вместе мы,1
ледяной поезд вызвать самый тёплый чувство пассажир метро встречать новогодний состав кольцевой линия внешний часть вагон уникальный состав напоминать заморозить стена украшение поезд имитация ледяной блок сверкать сосулька снежинка также подсветка создавать атмосфера настоящий зимний приключение,31
самый интересный станция метро рассказать слабослышащий пассажир специальный экскурсия бесплатный мероприятие гость узнать тип станция метро метод строительство экскурсия проходить обычный формат текст слабослышащий дублировать сурдопереводчик маршрут пройти станция библиотека ленин охотный ряд комсомольский белорусский маяковский александровский сад киевский ранее перезапустить проект экскурсия метро который выбрать образовательный встреча интересовать тема,1
подарок ёлка лыжа хороший настроение взять себя поездка мцд напомнить несколько простой правило размер ручной класть сумма измерение вес размещать всё сидение полка мешать другой подробно ознакомиться правило перевозка мочь официальный сайт перевозчик цппк мтппк правило перевозка спортинвентарь мцд другой вид транспорт рассказать пусть ваш дорога волшебный новый год,0
утвердить проект планировка электродепо ильинский обслуживание поезд строиться рублёво архангельский линия рассказать мэр москва сергей собянин депо разместить участок площадь северный сторона новорижский шоссе линия проложить соединительный ветка общий протяжённость порядок,12
пассажир вновь мочь пользоваться третий эскалатор станция алексеевский калужско рижский линия открыться капремонт момент прошлое капитальный ремонт пройти год работа включать демонтаж лестничный полотно тяговый цепь замена отдельный деталь целый механизм переборка редуктор обновление входной вал ремонт регулировка поручный ремонт входной площадка,23
московский метро мосгортранс выиграть евразийский премия магистраль награда получить проект беспилотный трамвай номинация хороший проект год билетный система цифровой сервис московский метро номинация лидер цифровой логистика внедрение электронный путевой лист площадка мосгортранс номинация успешный старт награда стать очередной подтверждение высокий качество проект московский транспорт международный уровень магистраль это масштабный премия который отмечать самый значимый проект область транспорт логистика страна евразийский экономический союз центральный азия,3
праздник украсить вход станция метро красный ворота сокольнический линия эскалаторный галерея воробьевый гора сделать знаменитый арка вход станция метро красный ворота украсить разноцветный драже новогодний шар яркий светодиодный линия эскалаторный галерея воробьевый гора разместить инсталляция вид еловый ветка высота составлять длина фасад галерея установить брендированный вывеска еловый неоновый элемент разместить поздравление пассажир потолок установить подвесной подарок ёлочный шаров мочь наслаждаться они поездка эскалатор,9
зимний сказка деловой центр москва украсить пешеходный зона москва сити установить зимний ёлка инсталляция например снеговик яркий светящийся буква промышленный новогодний ёлка радовать прохожий свой сияние оригинальный дизайн найти новогодний украшение возле выход станция метро деловой центр инсталляция твой город твой дело шар молодёжь москва красочный ёлка например ёлка столичный департамент жкх гараж особый назначение фсо россия также кировский область увидеть ёлка креативный инсталляция который установить рамка фестиваль зима москва приходить друг близкий делиться радостный момент создавать приятный воспоминание,7
конец год нужно столько сделать нарядить ёлка выбрать наряд прийти этап квест мцд который ждать встречаться декабрь первый точка загадка место старт долго ждать это место открыться год назад декабрь познакомить пассажир новый вид транспорт запуск провести квест особый дата год месяц мцд знать такой дата праздновать почему главное успеть добраться последний точка декабрь интересно,9
пора планировать свадьба станция метро маяковский северный речной вокзал рассказать максим ликсут год регистрация брак станция метро маяковский быть доступный дата северный речной вокзал дата подать заявление проведение регистрация оба локация лично дворец бракосочетание северный речной вокзал онлайн,11
новогодний хит метро проект музыка метро зима москва объединиться порадовать пассажир новогодний композиция коллектив исполнить вальс цвет пётр чайковский вальс ирония судьба зима антонио вивальдь музыкант выступить костюм дед мороз снегурочка заяц мишка коллектив играть пассажир скрипка виолончель инструментальный музыка число популярный новогодний песня звенеть январский вьюга белый свет музыкант выступить яркий новогодний головной убор,4
такой погода особенно актуально признаваться вид транспорт выбирать,22
подводить итог конкурс мария кытмановый валентина малеташкин екатерина густов константин густов артём жарков алексей жижков алексей мкртычян ольга вишняков мария иванов константин соколов поздравлять открыть свой личный сообщение наш менеджер смочь вы связаться,8
зимний палитра московский метро зимний тематика стать основа новый выставка проект искусство метро художник передать праздничный атмосфера наступать новый год разный техника набросок маркер яркий зарисовка гуашь масштабный картина масло холст текстильный изображение совместный экспозиция вместе объединение выставочный зала москва расположить переход станция ленинский проспект калужско рижский линия площадь гагарин мцк выставка посетить январь включительно,0
новый рекорд московский метрополитен миллион поездка день это самый большой показатель год показатель декабрь год выше день прошлое год самый востребовать линия стать бкл кольцевой таганско краснопресненский калужско рижский замоскворецкий,10
планировать объединить строиться электродепо южный действовать депо братеево многофункциональный комплекс рассказать мэр москва сергей собянин один территория разместиться предприятие поезд метро быть останавливаться рейс планово обслуживаться проходить полный цикл капитальный ремонт,4
творчество наука яркий эмоция подводить итог новогодний мастер класс рассказать максим ликсут декабрь вместе ведущий университет страна мгу рудна провести новогодний мастер класс переход станция мичуринский проспект бкл солнцевский линия пассажир принять участие мастер класс создать праздничный открытка узнать выращивание рождественский растение также поучаствовать увлекательный квест научный эксперимент делиться работа который получиться наш участник,7
конец год север столица открыть новый московский городской вокзал петровско разумовский несколько интересный факт петровско разумовский стать один крупный транспортный хабов север москва появиться новый пересадка серпуховско тимирязевский люблинско дмитровский линия метро пересадка мцд мцд также наземный городской транспорт открытие городской вокзал путь центр москва другой важный точка стать гораздо простой быстрый особенно житель район бутырский тимирязевский марфино проживать тыс человек год городской вокзал петровско разумовский быть пользоваться тыс человек который стать важный часть повседневный поездка,13
зимний праздник стучаться дверь воздух витать запах мандаринка запустить новогодний номерной состав поезд оформить фиолетовый синий тон нарисовать больший нарядный ёлка дед мороз подарок внутри поезд также создать праздничный атмосфера мочь увидеть хвойный украшение ёлочный игрушка гирлянда поезд курсировать замоскворецкий линия,49
маленький ожидание поезд рецепт который изменить жизнь миллион пассажир мцд год утро вечер платформа пригородный транспорт переполненный день пустой больший перерыв расписание ставить пассажир выбор ждать следующий поезд искать транспорт сегодня способный перевозить млн пассажир сутки год этот цифра раз маленький москвич житель область легко быстро добираться работа учёба место отдых смочь перевозить пассажир диаметр интервал часы пик длиться мина это позволить мы запустить поезд подвижный состав полностью обновить новый поезд вместительный удобный,6
чистота залог здоровье особенно период сезонный заболевание поддерживать чистота метро каждый час дневный время дезинфицировать контактный поверхность поручень турникет дверь кассовый зона каждый ночь проводить комплексный уборка ежедневно проводить уборка дезинфекция подвижный состав обрабатывать поверхность вагон мой пола специальный средство два треть вагон метро оборудовать система обеззараживание воздух,13
запустить новогодний зимний поезд кольцевой линия каждый вагон украсить атрибут зима один состав разместить объёмный фигура например снеговик ёлка снежинка ёлочный шар прокатиться новогодний тематический поезд январь год,75
уверить каждый друг,12
преддверие новый год запустить сразу тематический поезд новогодний оклейка поезд русич око москва москва оформить единый стиль изобразить ёлка снежинка другой символ праздник новогодний состав встретить линия сокольнический арбатско покровский филёвский кольцевой калужско рижский таганско краснопресненский калининский солнцевский серпуховско тимирязевский бкл бутовский,63
элемент напольный навигация разместить станция стрешнево мцк февраль приступить размещение новый напольный навигация термопластик найти направление пересадочный линия метро мцк весь линия мцд автовокзал аэроэкспресс шереметьево домодедово также экспресс внуково здание аэропорт внуково близкий выход город напольный навигация размещать основный место принятие решение дальнейший поездка помогать быстрый построить маршрут время пересадка крупный транспортный хаба транспортный объект это мочь станция метро станция аэропорт наш навигация точно заблудиться,13
десять год московский метро являться знаковый культурный площадка немой свыше пространство выставка концерт другой событие рассказать мэр москва сергей собянин год представить экспозиция приурочить юбилей театр март петровский парка савёловский открыть выставка картина посвятить бкл сентябрь два выставка летие день рождение михаил лермонтов,6
железный дорога давно традиция переходить новый расписание незадолго новый год год дата стать декабрь течение год вместе ржд цппк мтппк анализировать изучать транспортный потребность пассажир следующий год сделать ваш поездка быстрый комфортный новый расписание улучшить поездка пассажир мцд центральный транспортный узел счёт увеличение скорость движение поезд станция время поездка сократиться мина белорусский вокзал усовый полностью восстановиться движение ремонтный работа поезд быть ходить каждый час быстрый получиться добраться город населить пункт центральный транспортный узел гагарин можайск савеловый дубна шаховской тула калуга владимир петушок время отправление поезд дальний зона скорректировать пересадка поезд другой направление станция шаховской черусти голутвин воскресенск стать удобный подробный расписание узнать сайт мобильный приложение перевозчик,0
время новогодний волшебство зимний холод хороший повод делиться тепло кадр снять среда декабрь один очень добрый неравнодушный девушка накрыть собственный шарф одинокий бродячий собака один станция хотеть найти героиня видео подарить немного добро ответ знакомый девушка это вовсе отправить контактный дать личный сообщение группа обязательно вы связаться также быть благодарный любой информация собака,45
канун новый год ждать чудо повод радость вместе ппк украсить мобильный касса спасибо коллега яркий огонь еловый ветка сверкать декор создавать атмосфера новогодний чудо какой получаться фотография ждать повод отправляться кто любить забывать пополнять свой тройка покупать билет поездка волшебный касса,5
выйти третий иволга четвёртый диаметр современный поезд который любить третий дверь новый вагон сокращать время посадка высадка пассажир адаптивный освещение делать поездка уютный любой время сутки система климат контроль поддерживать оптимальный температура вагон вне зависимость погода окно зарядка смартфон помогать оставаться связь сидение современный дизайн обеспечивать комфорт путь каждый деталь создать особый внимание сделать ваш поездка настоящий приятный,79
